file	format	type	num_seqs	sum_len	min_len	avg_len	max_len	Q1	Q2	Q3	sum_gap	N50	N50_num	Q20(%)	Q30(%)	AvgQual	GC(%)
ALA-NC_Jan2019_282-2562143.fastq.gz	FASTQ	DNA	1178292	94100478	25	79.9	123	48.0	77.0	123.0	0	106	10	96.84	92.31	25.47	55.12
ALA-NC_Jan2019_282-2583999.fastq.gz	FASTQ	DNA	998323	80317834	25	80.5	123	48.0	78.0	123.0	0	108	8	96.66	91.91	25.24	54.91
ALA-R29880-2562259.fastq.gz	FASTQ	DNA	1086436	85527927	25	78.7	123	48.0	75.0	123.0	0	103	13	96.86	92.18	25.48	55.37
ALA-R29880-2892521.fastq.gz	FASTQ	DNA	1386258	106574137	25	76.9	123	46.0	71.0	123.0	0	101	15	96.21	91.35	24.75	56.39
ALA-R36967-2892426.fastq.gz	FASTQ	DNA	1073655	92810919	25	86.4	123	56.0	89.0	123.0	0	123	1	96.61	91.92	25.19	55.76
ALA-R36974-2892437.fastq.gz	FASTQ	DNA	1069120	83811793	25	78.4	123	48.0	75.0	123.0	0	100	16	96.94	92.51	25.60	55.01
ALA-R37003-2892459.fastq.gz	FASTQ	DNA	1122318	89462526	25	79.7	123	49.0	78.0	123.0	0	102	14	96.39	91.60	24.94	56.11
ALA-R37010-2892460.fastq.gz	FASTQ	DNA	1346248	98823626	25	73.4	123	44.0	67.0	105.0	0	91	25	96.44	91.89	25.01	57.86
ALA-R37025-2892461.fastq.gz	FASTQ	DNA	1310289	108566840	25	82.9	123	52.0	83.0	123.0	0	108	8	96.59	91.83	25.16	53.65
ALA-R37027-2892458.fastq.gz	FASTQ	DNA	1161439	97359376	25	83.8	123	53.0	85.0	123.0	0	109	7	96.31	91.41	24.85	54.13
ALA-R37032-2892401.fastq.gz	FASTQ	DNA	1292138	103599694	25	80.2	123	49.0	78.0	123.0	0	103	13	96.39	91.54	24.94	54.43
ALA-R37034-2892486.fastq.gz	FASTQ	DNA	1201770	98751045	25	82.2	123	51.0	82.0	123.0	0	108	8	96.30	91.28	24.84	55.22
ALA-R37101-2892544.fastq.gz	FASTQ	DNA	1370941	101757639	25	74.2	123	44.0	68.0	109.0	0	95	21	96.04	91.12	24.58	58.66
ALA-R37113-2892490.fastq.gz	FASTQ	DNA	1245399	69028751	25	55.4	123	34.0	49.0	69.0	0	61	55	95.87	91.00	24.41	63.85
ALA-R37116-2892470.fastq.gz	FASTQ	DNA	1210261	82146961	25	67.9	123	39.0	60.0	93.0	0	84	32	96.74	92.36	25.35	59.26
ALA-R37122-2892464.fastq.gz	FASTQ	DNA	1233655	95722070	25	77.6	123	47.0	74.0	123.0	0	100	16	96.64	92.00	25.23	54.35
